m,n,rep,method,sweeps,chords,seconds,relC_final,relC@5,relC@30,converged
500,20,10,P,4,2080,0.09518890001345426,0.7647406891944677,0.7647406891944677,0.7647406891944677,1
500,20,10,CN,10,5200,0.3724756999872625,0.47072633224023946,0.4482392826640869,0.47072633224023946,1
500,20,10,HYB,5,2600,0.14868709997972474,0.5088751259428643,0.5088751259428643,0.5088751259428643,1
500,20,10,CN-rand,30,15600,1.06691429996863,0.5287706281466745,0.5287978029115933,0.5287706281466745,0
500,20,10,CN-greedy,30,15600,1.546190899971407,0.3359376550301247,0.13366420375193513,0.3359376550301247,0
500,20,10,analytic,0,0,0.0012143999920226634,0.0780680236222813,nan,nan,1
500,20,10,chebyshev,0,0,0.01758650003466755,1.0,nan,nan,1
500,20,11,P,4,2080,0.0953266000142321,0.7604382840767994,0.7604382840767994,0.7604382840767994,1
500,20,11,CN,13,6760,0.4455627999850549,0.5689745298258799,0.490628899280301,0.5689745298258799,1
500,20,11,HYB,5,2600,0.1353717000456527,0.4884717507918738,0.4884717507918738,0.4884717507918738,1
500,20,11,CN-rand,30,15600,1.0388034000061452,0.3297773335436942,0.30076615137481383,0.3297773335436942,0
500,20,11,CN-greedy,30,15600,1.5168657000176609,0.36687007887380674,0.1529381473942224,0.36687007887380674,0
500,20,11,analytic,0,0,0.0020588000188581645,0.0789851613349898,nan,nan,1
500,20,11,chebyshev,0,0,0.018924799980595708,1.0,nan,nan,1
500,20,12,P,4,2080,0.0882339000236243,0.771470216284796,0.771470216284796,0.771470216284796,1
500,20,12,CN,9,4680,0.3072796000051312,0.4032185256243916,0.33897366296759107,0.4032185256243916,1
500,20,12,HYB,5,2600,0.14138439996168017,0.4326376407476314,0.4326376407476314,0.4326376407476314,1
